Z321,880000Z32401,拉萨,成都,LSO,CDW
Z322,760000Z32202,成都,拉萨,CDW,LSO
Z323,760000Z32202,成都,拉萨,CDW,LSO
Z324,880000Z32401,拉萨,成都,LSO,CDW
Z335,330000Z33809,包头,南宁,BTC,NNZ
Z336,710000Z33605,南宁,包头,NNZ,BTC
Z337,710000Z33605,南宁,包头,NNZ,BTC
Z338,330000Z33809,包头,南宁,BTC,NNZ
Z365,0h0000Z36800,哈尔滨西,南京,VAB,NJH
Z366,540000Z36610,南京,哈尔滨西,NJH,VAB
Z367,540000Z36610,南京,哈尔滨西,NJH,VAB
Z368,0h0000Z36800,哈尔滨西,南京,VAB,NJH
Z383,6b0000Z38610,海口,长春,VUQ,CCT
Z384,110000Z38405,长春,三亚,CCT,SEQ
Z385,110000Z38405,长春,三亚,CCT,SEQ
Z386,6b0000Z38610,海口,长春,VUQ,CCT
Z601,240000Z60106,北京,菏泽,BJP,HIK
Z602,470000Z60203,菏泽,北京,HIK,BJP
Z918,880000Z91804,拉萨,兰州,LSO,LZJ
Z5001,11000Z500101,长春,白城,CCT,BCT
Z5002,11000Z500200,乌兰浩特,长春,WWT,CCT
Z5003,11000Z500301,长春,白城,CCT,BCT
Z5004,11000Z500401,白城,长春,BCT,CCT
Z5005,11000Z500500,长春,白城,CCT,BCT
Z5006,11000Z500600,白城,长春,BCT,CCT
Z6101,33000Z610100,呼和浩特,鄂尔多斯,HHC,EEC
Z6102,3d000Z610200,鄂尔多斯,呼和浩特,EEC,HHC
Z6205,85000Z620501,兰州,嘉峪关,LZJ,JGJ
Z6206,86000Z620601,嘉峪关,兰州,JGJ,LZJ
Z6207,85000Z620712,兰州,张掖,LZJ,ZYJ
Z6208,86000Z620811,张掖,兰州,ZYJ,LZJ
Z6501,94000Z650410,库尔勒,乌鲁木齐,KLR,WAR
Z6502,93000Z650210,乌鲁木齐,库尔勒,WAR,KLR
Z6503,93000Z650210,乌鲁木齐,库尔勒,WAR,KLR
Z6504,94000Z650410,库尔勒,乌鲁木齐,KLR,WAR
Z6505,94000Z650810,库尔勒,乌鲁木齐,KLR,WAR
Z6506,93000Z650610,乌鲁木齐,库尔勒,WAR,KLR
Z6507,93000Z650610,乌鲁木齐,库尔勒,WAR,KLR
Z6508,94000Z650810,库尔勒,乌鲁木齐,KLR,WAR
Z6509,94000Z651210,库尔勒,乌鲁木齐,KLR,WAR
Z6510,93000Z651010,乌鲁木齐,库尔勒,WAR,KLR
Z6511,93000Z651010,乌鲁木齐,库尔勒,WAR,KLR
Z6512,94000Z651210,库尔勒,乌鲁木齐,KLR,WAR
